text,expected_label,predicted_label,confidence,correct,prob_joy,prob_sadness,prob_anger,prob_fear,prob_disgust
Because of a conflict with my parents there was a possibility to interrupt my studies.,fear,sadness,0.6205451488494873,False,0.0527,0.6205,0.0643,0.2042,0.0265
"A ex-boyfriend tried to prejudice me before my fiancT and his family saying things about me that let his family worried. We had to postpone our wedding and we were already using our wedding rings. To be honest I didn't feel just anger, I felt hate.",anger,anger,0.5582979917526245,True,0.0108,0.145,0.5583,0.0239,0.2381
When my husband stays late at a meeting and I have to be alone.,anger,fear,0.7077252268791199,False,0.0195,0.0938,0.1334,0.7077,0.0269
"Once I offended a friend, instead of her coming to me to ask and discuss the matter she was just telling other people about it and say all she could about me.",disgust,anger,0.5555495023727417,False,0.0129,0.0871,0.5555,0.0581,0.2494
When I learnt that I had been accepted at the medical school.,joy,joy,0.6808908581733704,True,0.6809,0.1071,0.0134,0.0361,0.0201
A friend of mine told other people that I was a slattern (because of an occurence that had happened some time ago). When I heard about that I was very angry.,anger,anger,0.8810182213783264,True,0.0066,0.0464,0.881,0.0275,0.0276
Getting a part-time job.,joy,joy,0.29828396439552307,True,0.2983,0.0629,0.1278,0.1312,0.165
We were on the road in a car when a lorry bypassed us. We had to swerve and we almost got run over.,fear,sadness,0.22716639935970306,False,0.1406,0.2272,0.2097,0.2065,0.0643
"I was disgusted with my brother's behaviour when he kept throwing things away because of his anger, after mum had shouted at him.",disgust,disgust,0.6525850892066956,True,0.0077,0.0464,0.2669,0.0118,0.6526
"Boyfriend ""chatting up"" another girl.",anger,disgust,0.6798234581947327,False,0.0229,0.0345,0.1168,0.0798,0.6798
"I heard that a friend had died in an accident; group situation: suddenly a friend came in and said ""Have you already heard that...""; there was a terrible consternation, silence, then everybody shouted excitedly ""How could that happen..."".",sadness,surprise,0.3264062702655792,False,0.0495,0.059,0.2841,0.116,0.1649
"I was walking in the wood at night with my boyfriend. Very romantic. Suddenly I heard a car driving very slowly with the lights out, it looked as if they were looking for something.",fear,fear,0.37215396761894226,True,0.2726,0.1175,0.0461,0.3722,0.052
When I am out in the dark and a suspicious looking character comes towards me.,fear,fear,0.742112398147583,True,0.0829,0.0682,0.0215,0.7421,0.0342
I felt disgusted when we (family) avoided a problem which could be solved readily.,disgust,disgust,0.8101489543914795,True,0.0096,0.0401,0.1113,0.0098,0.8101
" When I have achieved what I wanted to achieve, I feel the above stated emotion. Also when I am sucessful.",joy,fear,0.3810003399848938,False,0.3446,0.0688,0.0419,0.381,0.0634
"We were starting a student project, and the teacher we talked to was very negative and not very helpful.",anger,anger,0.50682532787323,True,0.0132,0.1951,0.5068,0.081,0.186
"The house was on fire, and I was saved by the dog. I am afraid of the fire, verging on panic.",fear,fear,0.9411760568618774,True,0.0125,0.0137,0.018,0.9412,0.0064
When I try to get closer at a person and she misinterpreted me.,sadness,disgust,0.48516467213630676,False,0.022,0.0512,0.194,0.16,0.4852
In the bus I was sitting next to a colleage who was drunk and behaved in keeping with his state.,disgust,disgust,0.47032976150512695,True,0.0326,0.1624,0.1669,0.1213,0.4703
I felt happy when I learnt that I had qualified for the grade eight.,joy,joy,0.9064210057258606,True,0.9064,0.0428,0.007,0.017,0.0075
Last night I did not do very well in one of the subjects. Before the result was announced I feared that I would fail. Finally I got a D and as the results of the other subjects were not all good I felt a little sad.,sadness,sadness,0.8494977951049805,True,0.0626,0.8495,0.0164,0.0352,0.0161
I was really disgusted when I saw one of my friends soiling on his clothes. I thought he was mad.,disgust,disgust,0.5800291895866394,True,0.0092,0.036,0.3374,0.0133,0.58
When my girl told me that she loved me more than any male creature on earth and that I would be the only one in her heart for all her life. ,joy,surprise,0.3367767035961151,False,0.1832,0.1092,0.189,0.0521,0.1297
I was called racial slurs behind my back.,anger,disgust,0.8648717403411865,False,0.0103,0.0328,0.0614,0.0143,0.8649
Cueing for bath for a long time.,disgust,joy,0.3894750475883484,False,0.3895,0.1149,0.0547,0.1808,0.0874
When a very near person got into an awkward situation but showed only helplessness and indecision.,disgust,disgust,0.4926936626434326,True,0.0168,0.1171,0.1633,0.1476,0.4927
