text,expected_label,predicted_label,confidence,correct,prob_joy,prob_sadness,prob_anger,prob_fear,prob_disgust
Because of a conflict with my parents there was a possibility to interrupt my studies.,fear,fear,0.37677741050720215,True,0.0341,0.313,0.1417,0.3768,0.0545
"A ex-boyfriend tried to prejudice me before my fiancT and his family saying things about me that let his family worried. We had to postpone our wedding and we were already using our wedding rings. To be honest I didn't feel just anger, I felt hate.",anger,anger,0.49580317735671997,True,0.0252,0.0985,0.4958,0.0366,0.3128
When my husband stays late at a meeting and I have to be alone.,anger,fear,0.39061760902404785,False,0.0426,0.3894,0.081,0.3906,0.0564
"Once I offended a friend, instead of her coming to me to ask and discuss the matter she was just telling other people about it and say all she could about me.",disgust,anger,0.510352611541748,False,0.0264,0.0555,0.5104,0.0627,0.2664
When I learnt that I had been accepted at the medical school.,joy,joy,0.561703085899353,True,0.5617,0.0472,0.0237,0.047,0.0297
A friend of mine told other people that I was a slattern (because of an occurence that had happened some time ago). When I heard about that I was very angry.,anger,anger,0.7943556904792786,True,0.0188,0.0941,0.7944,0.0282,0.0369
Getting a part-time job.,joy,joy,0.5556976795196533,True,0.5557,0.0704,0.0469,0.1022,0.1037
We were on the road in a car when a lorry bypassed us. We had to swerve and we almost got run over.,fear,surprise,0.2741125524044037,False,0.0855,0.1891,0.1461,0.207,0.0983
"I was disgusted with my brother's behaviour when he kept throwing things away because of his anger, after mum had shouted at him.",disgust,disgust,0.8348613381385803,True,0.016,0.0153,0.1013,0.0142,0.8349
"Boyfriend ""chatting up"" another girl.",anger,disgust,0.25822386145591736,False,0.2227,0.1464,0.0776,0.1293,0.2582
"I heard that a friend had died in an accident; group situation: suddenly a friend came in and said ""Have you already heard that...""; there was a terrible consternation, silence, then everybody shouted excitedly ""How could that happen..."".",sadness,surprise,0.46891143918037415,False,0.1964,0.0795,0.074,0.1039,0.0773
"I was walking in the wood at night with my boyfriend. Very romantic. Suddenly I heard a car driving very slowly with the lights out, it looked as if they were looking for something.",fear,surprise,0.4773785173892975,False,0.2067,0.1051,0.0468,0.0921,0.072
When I am out in the dark and a suspicious looking character comes towards me.,fear,fear,0.6004365682601929,True,0.0471,0.053,0.0604,0.6004,0.0562
I felt disgusted when we (family) avoided a problem which could be solved readily.,disgust,disgust,0.885003924369812,True,0.0149,0.015,0.0564,0.0129,0.885
" When I have achieved what I wanted to achieve, I feel the above stated emotion. Also when I am sucessful.",joy,joy,0.7716995477676392,True,0.7717,0.0706,0.0236,0.0404,0.0326
"We were starting a student project, and the teacher we talked to was very negative and not very helpful.",anger,sadness,0.47798269987106323,False,0.0764,0.478,0.1463,0.0788,0.1533
"The house was on fire, and I was saved by the dog. I am afraid of the fire, verging on panic.",fear,fear,0.8484477400779724,True,0.0215,0.0337,0.03,0.8484,0.0307
When I try to get closer at a person and she misinterpreted me.,sadness,fear,0.35476037859916687,False,0.0385,0.1262,0.1326,0.3548,0.1789
In the bus I was sitting next to a colleage who was drunk and behaved in keeping with his state.,disgust,disgust,0.3275603950023651,True,0.0641,0.2555,0.1736,0.0942,0.3276
I felt happy when I learnt that I had qualified for the grade eight.,joy,joy,0.9077104330062866,True,0.9077,0.0209,0.0142,0.0148,0.0151
Last night I did not do very well in one of the subjects. Before the result was announced I feared that I would fail. Finally I got a D and as the results of the other subjects were not all good I felt a little sad.,sadness,sadness,0.7931175231933594,True,0.0548,0.7931,0.0255,0.048,0.0272
I was really disgusted when I saw one of my friends soiling on his clothes. I thought he was mad.,disgust,disgust,0.788507342338562,True,0.0168,0.0189,0.1378,0.0159,0.7885
When my girl told me that she loved me more than any male creature on earth and that I would be the only one in her heart for all her life. ,joy,joy,0.8047212958335876,True,0.8047,0.0391,0.0195,0.0262,0.0271
I was called racial slurs behind my back.,anger,disgust,0.8270754814147949,False,0.022,0.0282,0.0724,0.0249,0.8271
Cueing for bath for a long time.,disgust,sadness,0.26987066864967346,False,0.2145,0.2699,0.0769,0.1096,0.1779
When a very near person got into an awkward situation but showed only helplessness and indecision.,disgust,sadness,0.3852631449699402,False,0.066,0.3853,0.1398,0.0996,0.1672
Finding out that my grandfather had died. He lived in England and I had not seen him for 10 years.,sadness,surprise,0.3768109083175659,False,0.1375,0.2928,0.0489,0.0998,0.0442
Getting a phone call from a very old friend.,joy,joy,0.5548325181007385,True,0.5548,0.0575,0.044,0.1114,0.0609
When the contract about my shop was signed.,joy,joy,0.6310735940933228,True,0.6311,0.0468,0.029,0.0823,0.0452
When a close friend of mine collapsed and passed away and the illness was not known.,sadness,sadness,0.6743006110191345,True,0.0728,0.6743,0.0494,0.0633,0.0448
"When my daughter gave her solo dance performance in Poona and there was a big applause, I was overjoyed.",joy,joy,0.8553033471107483,True,0.8553,0.0235,0.02,0.0168,0.0208
This issue worried me rather than saddening me. In mid September I went to Guanggho alone. I was looking for an accomodation in the evening and after having walked 2 or 3 miles I still could not find anything. What could I do? I was not worried about sleeping on the streets but because of some procedural problems. I finally found a place to sleep at 8 o'clock.,sadness,fear,0.5061710476875305,False,0.0515,0.2146,0.0459,0.5062,0.0461
I was told to do something I did not want to do.,anger,surprise,0.37775689363479614,False,0.2189,0.129,0.0471,0.1731,0.0542
When I failed a test at my primary school. I was then in grade 7 and we were about to take the main exam.,sadness,surprise,0.41226401925086975,False,0.3131,0.0766,0.0349,0.1123,0.0509
When I go out alone at night.,fear,fear,0.30223238468170166,True,0.1412,0.2586,0.0618,0.3022,0.1291
"My classmate at TISS has the habit of biting his nails and ever since my childhood I have never liked this habit. This person is near me in class, dining hall and the campus so I suggested that he should stop biting his nails. However he found it difficult and my disgust feelings have not changed.",disgust,disgust,0.441322922706604,True,0.0686,0.1427,0.1277,0.1105,0.4413
My father had an operation which lasted for hours. We were all very worried but it was successful.,joy,sadness,0.2571045756340027,False,0.2311,0.2571,0.0505,0.2057,0.0354
I get angry when my smaller brother misbehaves and talks with indecent words.,anger,anger,0.8972612023353577,True,0.01,0.0167,0.8973,0.0199,0.0392
When I heard the news of my grandfather's sudden death.,sadness,surprise,0.45402058959007263,False,0.3196,0.0843,0.0316,0.072,0.0385
My boyfriend told me that I had very high demands towards him. In my opinion this was wrong.,anger,surprise,0.23336070775985718,False,0.0724,0.2146,0.111,0.2137,0.1549
In a situation whereby a friend's actions were deliberately against my wishes and (with) no regard to my feelings.,anger,disgust,0.329241007566452,False,0.0705,0.1593,0.1409,0.1589,0.3292
Failing examn.,sadness,surprise,0.24656805396080017,False,0.1565,0.1255,0.0902,0.202,0.1791
"Our neighbour came and gossiped, about others, with my parents.",disgust,joy,0.5271055102348328,False,0.5271,0.1231,0.0639,0.0534,0.0887
"I had a summer job in Sweden, and my boyfriend came to meet me on my birthday.",joy,joy,0.737418532371521,True,0.7374,0.0439,0.0262,0.0337,0.0364
A close friend decided to stop with his study and to go back home.,sadness,joy,0.742418646812439,False,0.7424,0.0845,0.0237,0.0392,0.031
I had an important amount of money with me and felt fear of being assaulted.,fear,fear,0.44712337851524353,True,0.1083,0.1432,0.0729,0.4471,0.1158
"When I woke up one morning and went to the kitchen I discovered that our dog had diarrhoea. There were small ""piles"" all over the floor and the smell was choking.",disgust,disgust,0.319224089384079,True,0.0597,0.2344,0.1253,0.1295,0.3192
A drunken man forced me to kiss him.,disgust,disgust,0.5835745334625244,True,0.0396,0.1146,0.1452,0.0534,0.5836
Listening to the opening bars of Tchaikovsdy's symphony No.2 fourth movement at my sister's wedding.,joy,joy,0.571089506149292,True,0.5711,0.0659,0.0393,0.0668,0.0883
My father has a chronic desease. In the autumn of 1983 he had a very strong fit or seizure.,fear,sadness,0.6265084743499756,False,0.0483,0.6265,0.0903,0.1062,0.0789
"My father had a complicated operation. A long time before and also a long time after that, we did not know how he would get over it. During all that time I felt very sad.",sadness,sadness,0.8626794815063477,True,0.0316,0.8627,0.03,0.0262,0.0218
When I received a letter from the university telling me that my application had been accepted.,joy,joy,0.4667570888996124,True,0.4668,0.061,0.0349,0.0578,0.0348
A murder.,anger,disgust,0.500361979007721,False,0.0898,0.0864,0.1259,0.096,0.5004
When my father died.,sadness,sadness,0.5200878381729126,True,0.1479,0.5201,0.0542,0.0921,0.0721
Car accident nearly occurred between us and drunk driver coming in opposite direction it missed us by approx 1 m and collided (after rolling twice midair) into nearby scrub.,fear,surprise,0.3237789571285248,False,0.0751,0.1097,0.1611,0.1725,0.1577
"At end of school - function to ""celebrate"" ? Leaving friends who I'd known for up to 12 years.",sadness,joy,0.41351041197776794,False,0.4135,0.2226,0.0504,0.0863,0.0877
During labour when the foetal sounds became faint and there was a big alert for a forceps delivery.,fear,surprise,0.2542257010936737,False,0.1955,0.1493,0.064,0.2474,0.0896
My bicycle was demolished.,anger,sadness,0.4397878646850586,False,0.1467,0.4398,0.1192,0.0549,0.1585
"When I took blood from a patient for alcohol estimation and urine for some other examination, he told me that something bad would happen to me as he would play magic on me.",fear,surprise,0.2781669795513153,False,0.1779,0.1463,0.0611,0.2537,0.0828
"Once again, my life partner came back home drunk at midnight.",disgust,sadness,0.4649299383163452,False,0.0845,0.4649,0.1115,0.0655,0.0992
"I moved to a flat. A friend who had lived there before, had left the flat in a terrible mess. I was very angry about that sloppiness and impudence.",anger,anger,0.8793826699256897,True,0.0121,0.0342,0.8794,0.0168,0.0412
I was very happy when I passed the B.A with first class marks.,joy,joy,0.9040330648422241,True,0.904,0.0217,0.0152,0.0145,0.0168
I felt happy when my mother gave birth to a son who is the last born in the family.,joy,joy,0.8973760008811951,True,0.8974,0.0266,0.0153,0.0157,0.0177
"I detest any kind of constraint and hate the attempts of elder people to force me to a norm of behavior without having legal or moral rights to do it. I felt this emotion when a neighbour of mine made me kick out my guests because they had talked very loudly and threatened that with ""connections"" she will expel me from the inst.",disgust,disgust,0.49531984329223633,True,0.0456,0.116,0.2458,0.0479,0.4953
When I saw that my bed at the hostel was a mess I guessed that someone else had used my daily necessities. I felt that my personal sanity had been affected.,anger,sadness,0.7155551314353943,False,0.0523,0.7156,0.0415,0.0863,0.0328
Some foreign students playing loud music late at night.,disgust,disgust,0.37148526310920715,True,0.1725,0.1173,0.0903,0.1163,0.3715
"Earlier, I was afraid of speaking in front of a crowd of people.",fear,fear,0.7425985932350159,True,0.0223,0.0453,0.0339,0.7426,0.0489
"Walking along the beach with a friend (another girl), talking, picking up shells, laughing, chasing seagulls.",joy,joy,0.504099428653717,True,0.5041,0.0904,0.0641,0.0725,0.1419
When I was accepted as a student of Psychology here at Gutttenburg.,joy,joy,0.5288320779800415,True,0.5288,0.0657,0.0333,0.0589,0.0624
When I realized that I loved someone of the opposite sex.,joy,surprise,0.408829927444458,False,0.329,0.1153,0.0378,0.0562,0.0529
"I was rushing home from school because there was a 49er game that night. I got into a non-injury accident, which was all my fault, but destroyed the front of my car. The truck I hit was undamaged.",anger,sadness,0.3672013282775879,False,0.0711,0.3672,0.1424,0.0986,0.0769
I was disgusted at the way the bus conductor threw out an old woman oiut of the mini-bus simply because she could not pay the fare for her luggage.,disgust,disgust,0.889674186706543,True,0.015,0.012,0.0536,0.0132,0.8897
Mugged while on holiday in the U.S.A.,fear,disgust,0.5395649075508118,False,0.0583,0.0697,0.1826,0.083,0.5396
When I failed the grade seven examination.,sadness,sadness,0.33790722489356995,True,0.0725,0.3379,0.1127,0.2145,0.1154
 When mix was coming from column for several days.,disgust,joy,0.3330985903739929,False,0.3331,0.1316,0.0543,0.1457,0.0736
I received money from my father at a time when I was completely broken.,joy,joy,0.49746257066726685,True,0.4975,0.1865,0.0427,0.0528,0.0432
I received the mid-term exam paper of one of my major subjects and I found that I had failed it.,sadness,surprise,0.5061928033828735,False,0.2551,0.0982,0.0348,0.0631,0.0427
Had fear of losing husband.,fear,fear,0.6765850186347961,True,0.0368,0.1252,0.0345,0.6766,0.0671
"When I tried to explain to a plumber, face to face, that the toilet was broken and he did not believe it (it had been mended ten times).",anger,sadness,0.2818075120449066,False,0.0623,0.2818,0.1372,0.1475,0.1069
Got a present from my friend for my birthday.,joy,joy,0.8522421717643738,True,0.8522,0.0232,0.0186,0.0208,0.0243
Reunion with my wife after a legal separation.,joy,joy,0.6312053799629211,True,0.6312,0.1561,0.0369,0.0417,0.0565
"When I saw a TV program on the North American military plan called ""The startwar"".",fear,surprise,0.410074383020401,False,0.358,0.0524,0.0446,0.0657,0.0693
Saw my father with that woman he is married to now.,disgust,joy,0.4540939927101135,False,0.4541,0.0983,0.0438,0.0508,0.0599
When somebody made me touch human faeces.,disgust,disgust,0.3626813292503357,True,0.1881,0.1088,0.0883,0.0872,0.3627
"The carterer refused to give me sugar to add to my tea saying that there was no sugar whilst it was there, so I left the cafe disgusted without taking the tea.",disgust,disgust,0.6275591850280762,True,0.0285,0.0577,0.2275,0.0258,0.6276
"Having to decide on a termination of a pregnancy, after discussing it with friends, family and the man involved.",sadness,sadness,0.29776760935783386,True,0.0531,0.2978,0.163,0.2926,0.1264
When my parents did not let me go on a study tour.,sadness,sadness,0.5596755743026733,True,0.0898,0.5597,0.069,0.0887,0.0639
I was at school whhen I received a letter from the dean of my school congratulating me for my performance at the previous year's exam. ,joy,joy,0.8069255352020264,True,0.8069,0.0289,0.0221,0.0218,0.024
Found out that me and my best friend are both chosen for the English lectures.,joy,joy,0.5192128419876099,True,0.5192,0.0396,0.0358,0.1,0.0429
When I realized that I was far behind the others in the language course and I could no longer catch up with the others.,anger,sadness,0.42562711238861084,False,0.0759,0.4256,0.0637,0.1225,0.0511
First time in anatomy.,fear,surprise,0.4307994544506073,False,0.338,0.0421,0.0412,0.0597,0.0882
One night my father suddenly suffered from a heart attack which lead to breathing difficulties.,sadness,sadness,0.4610995650291443,True,0.0499,0.4611,0.1041,0.1892,0.0712
When I was told that my father had passed away.,sadness,surprise,0.3182069957256317,False,0.1765,0.2855,0.0542,0.1175,0.0481
"I took a psych. experiment with a totally unappealing gay man as the experimentor, some homosexuals are funny or cute, but this guy was disgusting. Plus the experiment was about gays too.",disgust,disgust,0.7967434525489807,True,0.0414,0.0355,0.0511,0.0294,0.7967
I discovered some pornographic literature in a workmates drawers. The literature featured pictures of naked women defecating on one another.,disgust,disgust,0.5132778882980347,True,0.0973,0.0939,0.0881,0.0772,0.5133
When I was victimized for running away with a girl who was somebody else's wife and niece at the same time. I was very angry over this issue because I was told to pay him money after having been punished for it. ,anger,anger,0.8953580856323242,True,0.0119,0.0288,0.8954,0.0161,0.0317
When my ex-girlfriend and I discovered that there was a certain risk of her being pregnant.,sadness,surprise,0.30713140964508057,False,0.1151,0.1709,0.0478,0.2895,0.0696
I was at home alone and my mother had asked me to heat the house. I put too much fuel into the stove. It began to glow and there was a noise in the whole house as if it was going to explode.,fear,sadness,0.4213237762451172,False,0.0745,0.4213,0.118,0.1116,0.1165
"Two boys whom I know were telling me, in an indecent manner, how they had teased a young and shy girl I know. They had despised her conviction, scorned and touched her. I got very angry and did not try to conceal it and gave it back to them.",anger,anger,0.6140050888061523,True,0.0201,0.0421,0.614,0.0234,0.2683
I finished my homework; an important task.,joy,joy,0.7310560345649719,True,0.7311,0.0574,0.0228,0.0382,0.034
Waiting for my girlfriend to come from her apt. to mine. She was very late and I thought something awful had happened.,fear,sadness,0.3231586217880249,False,0.0546,0.3232,0.0631,0.2568,0.0544
So as to be closer to the university I have left home and moved into Auckland. It now seems as if I have left home - especially my family - forever.,sadness,sadness,0.35988399386405945,True,0.2795,0.3599,0.0393,0.1541,0.0517
Seeing my sister after about 2 years of not seeing her. Only spent 1 hour or so before she was off overseas with her husband for 3 months.,joy,sadness,0.41727903485298157,False,0.2498,0.4173,0.0405,0.0729,0.0566
When I was little I lost control of my bike and started to go into a buay intersection but my neighbor stopped me just in time.,fear,surprise,0.3789040148258209,False,0.0887,0.1955,0.1101,0.1483,0.0785
"I felt very sad when I left home because I could not stand it any longer. I do not regret it, but I missed my little sister very much (and she missed me). These feelings wear off over time.",sadness,sadness,0.8595758676528931,True,0.0356,0.8596,0.0323,0.0288,0.0221
"When a friend, who has been with me at school, failed to make it to UNZA.",sadness,sadness,0.4141540825366974,True,0.0745,0.4142,0.1658,0.1515,0.0988
