text,label
I feel exhausted and unhappy after work,sadness
I never expected to receive such strong appreciation,surprise
I strongly dislike this kind of workplace behavior.,disgust
I felt encouraged after my manager praised my work.,joy
I was upset that nobody noticed my effort.,sadness
The unfair feedback made me angry.,anger
I am enjoying the responsibilities of my new role,joy
The sudden opportunity was a surprise.,surprise
Completing the difficult task gave me a great sense of satisfaction.,joy
The possibility of failure worries me.,fear
I felt joyful after completing the challenging work.,joy
I am sad that my concerns were ignored,sadness
I miss having supportive colleagues,sadness
I was disgusted by the lack of respect.,disgust
I feel anxious about the new expectations.,fear
I feel upset about the disrespectful behavior.,anger
The congratulations from my colleagues made me happy.,joy
I feel frustrated when decisions are made without consulting me,anger
The stressful week made me feel emotionally tired.,sadness
The successful presentation made me feel accomplished.,joy
My manager appreciated my contribution,joy
The unethical practices disgusted me.,disgust
I felt uncomfortable with the inappropriate discussion.,disgust
The unethical decision made me feel disgusted.,disgust
I feel concerned about meeting expectations.,fear
I feel uncomfortable with the toxic attitude.,disgust
I was excited to share my achievement with my team.,joy
I felt hurt by the lack of appreciation.,sadness
The toxic attitude made me uncomfortable.,disgust
The unexpected feedback caught me off guard.,surprise
I strongly dislike unfair and unethical behavior.,disgust
I was sad when my plans changed unexpectedly.,sadness
I was happy to receive constructive encouragement.,joy
I am frustrated with the constant problems.,anger
The constant problems at work made me feel drained.,sadness
The sudden announcement caught me by surprise.,surprise
The rejection made me question my abilities.,sadness
I cannot stand the disrespect shown to coworkers,disgust
I did not expect the manager to change the plan.,surprise
The constant interruptions make me irritated.,anger
I am worried that I will miss the deadline.,fear
The new opportunity made me feel excited.,joy
I dislike the toxic behavior of my coworker,disgust
The unethical treatment of employees was unpleasant.,disgust
I felt hopeful about my career after the discussion.,joy
I felt lonely working late without my team.,sadness
I was shocked when the deadline was moved.,surprise
I feel unhappy with my current situation,sadness
The recognition encouraged me to keep improving.,joy
The sudden announcement was surprising.,surprise
I was irritated by the unnecessary delay.,anger
I became frustrated when my work was rejected without explanation.,anger
I have been feeling emotionally drained lately,sadness
I dislike the careless way people are treated.,disgust
